DateOfValuation,Size SqM,SqFt,PropertyType,NoOfFloors,ADDRESS,SCHEME,PRICE,YEAR,pricePerSqft,Seller
12/10/2018,199.00,2142.00,Condominium/Apartment,14,""A-10-3",JALAN DESA BAKTI 2"1 DESA RESIDENCE,1380000.00,2018,644.2528607,null
12/10/2018,199.00,2142.00,Condominium/Apartment,14,""A-10-3",JALAN DESA BAKTI 2"1 DESA RESIDENCE,1380000.00,2018,644.2528607,null
16/11/2017,199.00,2142.00,Condominium/Apartment,14,""A-7-3",JLN DESA BAKTI 2"1 DESA RESIDENCE,1400000.00,2017,653.5898586,null
16/11/2017,199.00,2142.00,Condominium/Apartment,14,""A-7-3",JLN DESA BAKTI 2"1 DESA RESIDENCE,1400000.00,2017,653.5898586,null
4/7/2021,199.00,2142.00,Condominium/Apartment,13,""A-7-2",JLN DESA BAKTI 2"1 DESA RESIDENCE,1450000.00,2021,676.9323536,null
4/7/2021,199.00,2142.00,Condominium/Apartment,13,""A-7-2",JLN DESA BAKTI 2"1 DESA RESIDENCE,1450000.00,2021,676.9323536,null
4/6/2018,199.00,2142.00,Condominium/Apartment,14,""A-3-2",JALAN DESA BAKTI 2"1 DESA RESIDENCE,1575000.00,2018,735.288591,null
4/6/2018,199.00,2142.00,Condominium/Apartment,14,""A-3-2",JALAN DESA BAKTI 2"1 DESA RESIDENCE,1575000.00,2018,735.288591,null
16/11/2017,199.00,2142.00,Condominium/Apartment,14,""A-5-1",JALAN DESA BAKTI"1 DESA RESIDENCE,1590000.00,2017,742.2913395,null
16/11/2017,199.00,2142.00,Condominium/Apartment,14,""A-5-1",JALAN DESA BAKTI"1 DESA RESIDENCE,1590000.00,2017,742.2913395,null
7/3/2018,147.99,1593.00,Condominium/Apartment,13,""A-G-3A",JLN DESA BAKTI 2"1 DESA RESIDENCE,1200000.00,2018,753.2686209,null
7/3/2018,147.99,1593.00,Condominium/Apartment,13,""A-G-3A",JLN DESA BAKTI 2"1 DESA RESIDENCE,1200000.00,2018,753.2686209,null
9/12/2017,199.00,2142.00,Condominium/Apartment,14,""A-4-7",JALAN DESA BAKTI 2"1 DESA RESIDENCE,1680000.00,2017,784.3078304,null
9/12/2017,199.00,2142.00,Condominium/Apartment,14,""A-4-7",JALAN DESA BAKTI 2"1 DESA RESIDENCE,1680000.00,2017,784.3078304,null
